Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
07;Transporte;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
08;Comunicaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
08;Comunicaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
08;Comunicaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
08;Comunicaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
08;Comunicaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
09;Recreaci�n y cultura;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
09;Recreaci�n y cultura;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
09;Recreaci�n y cultura;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
09;Recreaci�n y cultura;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
09;Recreaci�n y cultura;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
10;Educaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
10;Educaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
10;Educaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
10;Educaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
10;Educaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
12;Bienes y servicios varios;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Pampeana
12;Bienes y servicios varios;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noreste
12;Bienes y servicios varios;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Noroeste
12;Bienes y servicios varios;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Cuyo
12;Bienes y servicios varios;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;Patagonia
01.1;Alimentos;Grupos;2016-12-01;100;0.00;0.00;Pampeana
01.1;Alimentos;Grupos;2016-12-01;100;0.00;0.00;Noreste
01.1;Alimentos;Grupos;2016-12-01;100;0.00;0.00;Noroeste
01.1;Alimentos;Grupos;2016-12-01;100;0.00;0.00;Cuyo
01.1;Alimentos;Grupos;2016-12-01;100;0.00;0.00;Patagonia
01.2;Bebidas no alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Pampeana
01.2;Bebidas no alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Noreste
01.2;Bebidas no alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Noroeste
01.2;Bebidas no alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Cuyo
01.2;Bebidas no alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Patagonia
02.1;Bebidas alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Pampeana
02.1;Bebidas alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Noreste
02.1;Bebidas alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Noroeste
02.1;Bebidas alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Cuyo
02.1;Bebidas alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;Patagonia
02.2;Tabaco;Grupos;2016-12-01;100;0.00;0.00;Pampeana
02.2;Tabaco;Grupos;2016-12-01;100;0.00;0.00;Noreste
02.2;Tabaco;Grupos;2016-12-01;100;0.00;0.00;Noroeste
02.2;Tabaco;Grupos;2016-12-01;100;0.00;0.00;Cuyo
02.2;Tabaco;Grupos;2016-12-01;100;0.00;0.00;Patagonia
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100;0.00;0.00;Pampeana
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100;0.00;0.00;Noreste
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100;0.00;0.00;Noroeste
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100;0.00;0.00;Cuyo
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100;0.00;0.00;Patagonia
03.2;Calzado;Grupos;2016-12-01;100;0.00;0.00;Pampeana
03.2;Calzado;Grupos;2016-12-01;100;0.00;0.00;Noreste
03.2;Calzado;Grupos;2016-12-01;100;0.00;0.00;Noroeste
03.2;Calzado;Grupos;2016-12-01;100;0.00;0.00;Cuyo
03.2;Calzado;Grupos;2016-12-01;100;0.00;0.00;Patagonia
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100;0.00;0.00;Pampeana
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100;0.00;0.00;Noreste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100;0.00;0.00;Noroeste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100;0.00;0.00;Cuyo
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100;0.00;0.00;Patagonia
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100;0.00;0.00;Pampeana
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100;0.00;0.00;Noreste
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100;0.00;0.00;Noroeste
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100;0.00;0.00;Cuyo
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100;0.00;0.00;Patagonia
05.6;Bienes y servicios para la conservaci�n del hogar;Grupos;2016-12-01;100;0.00;0.00;Pampeana
05.6;Bienes y servicios para la conservaci�n del hogar;Grupos;2016-12-01;100;0.00;0.00;Noreste
05.6;Bienes y servicios para la conservaci�n del hogar;Grupos;2016-12-01;100;0.00;0.00;Noroeste
05.6;Bienes y servicios para la conservaci�n del hogar;Grupos;2016-12-01;100;0.00;0.00;Cuyo
05.6;Bienes y servicios para la conservaci�n del hogar;Grupos;2016-12-01;100;0.00;0.00;Patagonia
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100;0.00;0.00;Pampeana
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100;0.00;0.00;Noreste
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100;0.00;0.00;Noroeste
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100;0.00;0.00;Cuyo
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100;0.00;0.00;Patagonia
07.1;Adquisici�n de veh�culos;Grupos;2016-12-01;100;0.00;0.00;Pampeana
07.1;Adquisici�n de veh�culos;Grupos;2016-12-01;100;0.00;0.00;Noreste
07.1;Adquisici�n de veh�culos;Grupos;2016-12-01;100;0.00;0.00;Noroeste
07.1;Adquisici�n de veh�culos;Grupos;2016-12-01;100;0.00;0.00;Cuyo
07.1;Adquisici�n de veh�culos;Grupos;2016-12-01;100;0.00;0.00;Patagonia
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100;0.00;0.00;Pampeana
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100;0.00;0.00;Noreste
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100;0.00;0.00;Noroeste
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100;0.00;0.00;Cuyo
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100;0.00;0.00;Patagonia
07.3;Transporte p�blico;Grupos;2016-12-01;100;0.00;0.00;Pampeana
07.3;Transporte p�blico;Grupos;2016-12-01;100;0.00;0.00;Noreste
07.3;Transporte p�blico;Grupos;2016-12-01;100;0.00;0.00;Noroeste
07.3;Transporte p�blico;Grupos;2016-12-01;100;0.00;0.00;Cuyo
07.3;Transporte p�blico;Grupos;2016-12-01;100;0.00;0.00;Patagonia
08.3;Servicios de telefon�a e internet;Grupos;2016-12-01;100;0.00;0.00;Pampeana
08.3;Servicios de telefon�a e internet;Grupos;2016-12-01;100;0.00;0.00;Noreste
08.3;Servicios de telefon�a e internet;Grupos;2016-12-01;100;0.00;0.00;Noroeste
08.3;Servicios de telefon�a e internet;Grupos;2016-12-01;100;0.00;0.00;Cuyo
08.3;Servicios de telefon�a e internet;Grupos;2016-12-01;100;0.00;0.00;Patagonia
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100;0.00;0.00;Pampeana
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100;0.00;0.00;Noreste
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100;0.00;0.00;Noroeste
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100;0.00;0.00;Cuyo
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100;0.00;0.00;Patagonia
09.5;Peri�dicos, diarios, revistas, libros y art�culos de papeler�a;Grupos;2016-12-01;100;0.00;0.00;Pampeana
09.5;Peri�dicos, diarios, revistas, libros y art�culos de papeler�a;Grupos;2016-12-01;100;0.00;0.00;Noreste
09.5;Peri�dicos, diarios, revistas, libros y art�culos de papeler�a;Grupos;2016-12-01;100;0.00;0.00;Noroeste
09.5;Peri�dicos, diarios, revistas, libros y art�culos de papeler�a;Grupos;2016-12-01;100;0.00;0.00;Cuyo
09.5;Peri�dicos, diarios, revistas, libros y art�culos de papeler�a;Grupos;2016-12-01;100;0.00;0.00;Patagonia
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100;0.00;0.00;Pampeana
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100;0.00;0.00;Noreste
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100;0.00;0.00;Noroeste
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100;0.00;0.00;Cuyo
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100;0.00;0.00;Patagonia
12.1;Cuidado personal;Grupos;2016-12-01;100;0.00;0.00;Pampeana
12.1;Cuidado personal;Grupos;2016-12-01;100;0.00;0.00;Noreste
12.1;Cuidado personal;Grupos;2016-12-01;100;0.00;0.00;Noroeste
12.1;Cuidado personal;Grupos;2016-12-01;100;0.00;0.00;Cuyo
12.1;Cuidado personal;Grupos;2016-12-01;100;0.00;0.00;Patagonia
01.1.1;Pan y cereales;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.1.1;Pan y cereales;Clase;2016-12-01;100;0.00;0.00;Noreste
01.1.1;Pan y cereales;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.1.1;Pan y cereales;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.1.1;Pan y cereales;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.1.2;Carnes y derivados;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.1.2;Carnes y derivados;Clase;2016-12-01;100;0.00;0.00;Noreste
01.1.2;Carnes y derivados;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.1.2;Carnes y derivados;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.1.2;Carnes y derivados;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.1.4;Leche, productos l�cteos y huevos;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.1.4;Leche, productos l�cteos y huevos;Clase;2016-12-01;100;0.00;0.00;Noreste
01.1.4;Leche, productos l�cteos y huevos;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.1.4;Leche, productos l�cteos y huevos;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.1.4;Leche, productos l�cteos y huevos;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100;0.00;0.00;Noreste
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.1.6;Frutas;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.1.6;Frutas;Clase;2016-12-01;100;0.00;0.00;Noreste
01.1.6;Frutas;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.1.6;Frutas;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.1.6;Frutas;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.1.7;Verduras, tub�rculos y legumbres;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.1.7;Verduras, tub�rculos y legumbres;Clase;2016-12-01;100;0.00;0.00;Noreste
01.1.7;Verduras, tub�rculos y legumbres;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.1.7;Verduras, tub�rculos y legumbres;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.1.7;Verduras, tub�rculos y legumbres;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.1.8;Az�car, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.1.8;Az�car, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100;0.00;0.00;Noreste
01.1.8;Az�car, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.1.8;Az�car, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.1.8;Az�car, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.2.1;Caf�, t�, yerba y cacao;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.2.1;Caf�, t�, yerba y cacao;Clase;2016-12-01;100;0.00;0.00;Noreste
01.2.1;Caf�, t�, yerba y cacao;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.2.1;Caf�, t�, yerba y cacao;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.2.1;Caf�, t�, yerba y cacao;Clase;2016-12-01;100;0.00;0.00;Patagonia
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100;0.00;0.00;Pampeana
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100;0.00;0.00;Noreste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100;0.00;0.00;Noroeste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100;0.00;0.00;Cuyo
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100;0.00;0.00;Patagonia
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100;0.00;0.00;Pampeana
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100;0.00;0.00;Noreste
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100;0.00;0.00;Noroeste
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100;0.00;0.00;Cuyo
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100;0.00;0.00;Patagonia
06.4.1;Gastos de prepagas;Clase;2016-12-01;100;0.00;0.00;Pampeana
06.4.1;Gastos de prepagas;Clase;2016-12-01;100;0.00;0.00;Noreste
06.4.1;Gastos de prepagas;Clase;2016-12-01;100;0.00;0.00;Noroeste
06.4.1;Gastos de prepagas;Clase;2016-12-01;100;0.00;0.00;Cuyo
06.4.1;Gastos de prepagas;Clase;2016-12-01;100;0.00;0.00;Patagonia
07.2.2;Combustibles y lubricantes para veh�culos de uso del hogar;Clase;2016-12-01;100;0.00;0.00;Pampeana
07.2.2;Combustibles y lubricantes para veh�culos de uso del hogar;Clase;2016-12-01;100;0.00;0.00;Noreste
07.2.2;Combustibles y lubricantes para veh�culos de uso del hogar;Clase;2016-12-01;100;0.00;0.00;Noroeste
07.2.2;Combustibles y lubricantes para veh�culos de uso del hogar;Clase;2016-12-01;100;0.00;0.00;Cuyo
07.2.2;Combustibles y lubricantes para veh�culos de uso del hogar;Clase;2016-12-01;100;0.00;0.00;Patagonia
0;Nivel general;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
06;Salud;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
07;Transporte;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
08;Comunicaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
09;Recreaci�n y cultura;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
10;Educaci�n;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
12;Bienes y servicios varios;Nivel general y divisiones COICOP;2016-12-01;100;0.00;0.00;GBA
01.1;Alimentos;Grupos;2016-12-01;100;0.00;0.00;GBA
01.2;Bebidas no alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;GBA
02.1;Bebidas alcoh�licas;Grupos;2016-12-01;100;0.00;0.00;GBA
02.2;Tabaco;Grupos;2016-12-01;100;0.00;0.00;GBA
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100;0.00;0.00;GBA
03.2;Calzado;Grupos;2016-12-01;100;0.00;0.00;GBA
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100;0.00;0.00;GBA
04.3;Mantenimiento y reparaci�n de la vivienda;Grupos;2016-12-01;100;0.00;0.00;GBA
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100;0.00;0.00;GBA
05.6;Bienes y servicios para la conservaci�n del hogar;Grupos;2016-12-01;100;0.00;0.00;GBA
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100;0.00;0.00;GBA
07.1;Adquisici�n de veh�culos;Grupos;2016-12-01;100;0.00;0.00;GBA
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100;0.00;0.00;GBA
07.3;Transporte p�blico;Grupos;2016-12-01;100;0.00;0.00;GBA
08.3;Servicios de telefon�a e internet;Grupos;2016-12-01;100;0.00;0.00;GBA
09.1;Equipos audiovisuales, fotogr�ficos y de procesamiento de la informaci�n;Grupos;2016-12-01;100;0.00;0.00;GBA
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100;0.00;0.00;GBA
09.5;Peri�dicos, diarios, revistas, libros y art�culos de papeler�a;Grupos;2016-12-01;100;0.00;0.00;GBA
11.1;Restaurantes y comidas fuera del hogar;Grupos;2016-12-01;100;0.00;0.00;GBA
12.1;Cuidado personal;Grupos;2016-12-01;100;0.00;0.00;GBA
01.1.1;Pan y cereales;Clase;2016-12-01;100;0.00;0.00;GBA
01.1.2;Carnes y derivados;Clase;2016-12-01;100;0.00;0.00;GBA
01.1.4;Leche, productos l�cteos y huevos;Clase;2016-12-01;100;0.00;0.00;GBA
01.1.5;Aceites, grasas y manteca;Clase;2016-12-01;100;0.00;0.00;GBA
01.1.6;Frutas;Clase;2016-12-01;100;0.00;0.00;GBA
01.1.7;Verduras, tub�rculos y legumbres;Clase;2016-12-01;100;0.00;0.00;GBA
01.1.8;Az�car, dulces, chocolate, golosinas, etc.;Clase;2016-12-01;100;0.00;0.00;GBA
01.2.1;Caf�, t�, yerba y cacao;Clase;2016-12-01;100;0.00;0.00;GBA
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;2016-12-01;100;0.00;0.00;GBA
04.1.1;Alquiler de la vivienda;Clase;2016-12-01;100;0.00;0.00;GBA
06.4.1;Gastos de prepagas;Clase;2016-12-01;100;0.00;0.00;GBA
07.2.2;Combustibles y lubricantes para veh�culos de uso del hogar;Clase;2016-12-01;100;0.00;0.00;GBA
0;Nivel general;Nivel general y divisiones COICOP;2017-01-01;101.7874;1.80;0.00;Pampeana
0;Nivel general;Nivel general y divisiones COICOP;2017-01-01;101.6727;1.70;0.00;Noreste
0;Nivel general;Nivel general y divisiones COICOP;2017-01-01;101.6014;1.60;0.00;Noroeste
0;Nivel general;Nivel general y divisiones COICOP;2017-01-01;101.7074;1.70;0.00;Cuyo
0;Nivel general;Nivel general y divisiones COICOP;2017-01-01;102.5593;2.60;0.00;Patagonia
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2017-01-01;101.3185;1.30;0.00;Pampeana
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2017-01-01;101.7326;1.70;0.00;Noreste
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2017-01-01;101.0322;1.00;0.00;Noroeste
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2017-01-01;101.4532;1.50;0.00;Cuyo
01;Alimentos y bebidas no alcoh�licas;Nivel general y divisiones COICOP;2017-01-01;100.9464;0.90;0.00;Patagonia
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2017-01-01;101.3123;1.30;0.00;Pampeana
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2017-01-01;100.7754;0.80;0.00;Noreste
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2017-01-01;101.3444;1.30;0.00;Noroeste
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2017-01-01;101.3446;1.30;0.00;Cuyo
02;Bebidas alcoh�licas y tabaco;Nivel general y divisiones COICOP;2017-01-01;101.1901;1.20;0.00;Patagonia
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2017-01-01;99.6481;-0.40;0.00;Pampeana
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2017-01-01;100.2847;0.30;0.00;Noreste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2017-01-01;100.483;0.50;0.00;Noroeste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2017-01-01;99.8901;-0.10;0.00;Cuyo
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;2017-01-01;100.9137;0.90;0.00;Patagonia
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2017-01-01;102.225;2.20;0.00;Pampeana
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2017-01-01;101.394;1.40;0.00;Noreste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;2017-01-01;101.5904;1.60;0.00;Noroeste
